,	179333
的	143280
。	81684
1	78656
0	70793
e	62553
a	59850
一	59721
是	57269
不	56171
2	50955
o	50368
i	48166
n	47281
3	44528
有	43239
8	43213
5	40859
t	39554
s	38505
中	36930
r	36637
大	35095
9	34014
6	33677
人	33428
这	32168
了	32075
l	31793
电	31113
7	30581
c	30476
在	29559
我	29468
.	26497
4	26002
上	25106
m	24623
国	24463
好	24446
h	24443
:	24330
个	23775
-	23751
小	22624
u	22326
、	21359
d	20717
很	19894
g	19728
p	18333
可	18033
家	17979
书	17745
为	17624
行	17602
生	17437
心	17421
b	17016
面	16822
公	16673
时	16539
品	16476
店	16428
过	16245
以	16148
地	16116
看	15988
和	15706
话	15606
年	15452
来	15256
子	15254
出	15069
y	14754
美	14733
用	14695
就	14625
那	14601
到	14339
还	14124
本	14005
发	13933
全	13742
会	13736
都	13610
多	13557
f	13552
要	13445
于	13437
天	13316
你	13241
部	13203
事	13188
新	13176
;	13164
后	13124
车	13100
也	13006
业	12933
开	12883
得	12596
分	12525
能	12386
没	12252
点	11932
市	11800
动	11760
星	11718
路	11605
自	11527
里	11340
工	11144
说	11106
道	11042
学	11000
海	10956
w	10829
方	10501
它	10396
所	10271
而	10258
区	10208
成	10168
k	10111
机	10022
明	9956
文	9948
水	9941
司	9863
无	9763
之	9722
手	9689
!	9684
作	9622
加	9622
果	9606
实	9560
着	9559
色	9530
西	9518
东	9412
下	9365
高	9343
些	9287
关	9273
但	9246
包	9218
金	9205
么	9193
对	9136
然	9129
经	8976
特	8947
酒	8922
装	8867
错	8823
安	8815
日	8785
南	8754
系	8747
理	8653
感	8536
正	8437
片	8422
北	8389
山	8325
名	8271
欢	8254
如	8239
场	8214
们	8145
最	8111
情	8077
务	8067
城	8053
v	8038
州	8018
光	8014
三	7951
故	7950
非	7942
花	7933
银	7925
真	7921
想	7896
意	7888
其	7883
服	7881
商	7839
月	7795
他	7724
》	7653
影	7632
《	7629
起	7602
重	7517
物	7482
线	7445
老	7414
保	7412
专	7361
长	7265
常	7244
主	7238
体	7211
外	7209
元	7152
太	7140
质	7135
与	7092
二	7044
建	6990
第	6987
爱	6960
现	6932
前	6883
福	6869
合	6863
内	6852
喜	6852
信	6839
口	6803
间	6791
球	6790
江	6758
民	6698
化	6652
门	6633
河	6630
者	6561
限	6559
号	6554
通	6553
力	6462
广	6431
种	6387
)	6376
直	6316
原	6298
量	6291
华	6264
产	6242
代	6208
定	6199
(	6195
价	6170
快	6157
房	6157
同	6132
版	6131
比	6099
因	6002
设	5920
乐	5909
超	5899
热	5884
科	5866
平	5823
管	5821
问	5813
香	5800
更	5779
馆	5770
买	5755
风	5747
法	5745
样	5741
·	5732
题	5719
当	5669
餐	5619
菜	5586
x	5573
味	5570
精	5564
肉	5518
只	5495
容	5490
京	5466
去	5417
营	5383
送	5318
万	5289
觉	5284
牛	5280
四	5269
知	5266
做	5264
食	5261
茶	5249
/	5240
”	5234
性	5203
百	5180
“	5166
修	5158
